,COD ID,RMSD,Original Energy,Minimized Energy (OpenMM)
0,7206161,[0.03115219],748.0758180951161 kJ/mol,-1241.2581901154208 kJ/mol
1,2201001,[0.07680011],4497.50754584254 kJ/mol,1845.1756859536508 kJ/mol
2,4037896,[1.3477652],21575.011193753162 kJ/mol,17690.089377220953 kJ/mol
3,4339655,[0.01612342],7538.029191746391 kJ/mol,4344.484859676519 kJ/mol
4,4037918,[1.0309321],6904.294500158379 kJ/mol,3969.0687318657656 kJ/mol
5,4500369,[1.2992929],35162.25970615611 kJ/mol,32950.9957143337 kJ/mol
6,2243066,[1.2196628],57178.8762372139 kJ/mol,52492.17616584183 kJ/mol
7,2105585,[0.02344306],21391.832893928877 kJ/mol,17668.77438429442 kJ/mol
8,2211928,[0.7356219],-19765.519845754236 kJ/mol,-23915.93985856267 kJ/mol
9,1100249,[0.01316471],15027.443697733415 kJ/mol,6414.974061141762 kJ/mol
10,7118053,[1.2823242],22517.60182210926 kJ/mol,20336.331661328135 kJ/mol
11,2015769,[0.6425567],24081.70034128194 kJ/mol,22478.063406305748 kJ/mol
12,1504357,[1.3307035],1654.6181908531107 kJ/mol,-96.31212191605664 kJ/mol
13,2231307,[0.75695854],-24699.703412515562 kJ/mol,-32076.081295929715 kJ/mol
14,1511801,[0.01483565],-5138.136933430111 kJ/mol,-2366.391648449808 kJ/mol
15,2225118,[1.0675386],25075.836637755663 kJ/mol,20256.689443560783 kJ/mol
16,7213183,[0.01622823],27064.902663636 kJ/mol,22126.030914042272 kJ/mol
17,2206542,[0.85478944],-4465.361322638893 kJ/mol,-5557.393522662088 kJ/mol
18,7154682,[0.02030791],27257.337269308486 kJ/mol,22190.236776121677 kJ/mol
19,2105612,[0.03711751],-10139.471932740686 kJ/mol,-24454.61425110892 kJ/mol
20,2012828,[0.91458476],-37566.79541685042 kJ/mol,-38678.966204293276 kJ/mol
21,7206934,[0.01437412],24722.253034354886 kJ/mol,20841.007534439406 kJ/mol
22,7210454,[0.71437526],27907.34132795668 kJ/mol,20245.29947096766 kJ/mol
23,4034456,[1.0489591],-4895.377789108228 kJ/mol,-9291.449861738834 kJ/mol
24,7219429,[0.44982773],-549.1781311834857 kJ/mol,-24262.69602385094 kJ/mol
25,2237654,[0.6506224],56864.921586563556 kJ/mol,44692.554585236554 kJ/mol
26,2200184,[0.6494026],25545.461470776158 kJ/mol,22867.17645503114 kJ/mol
27,2208843,[0.04341805],22264.30598011561 kJ/mol,17667.579759643057 kJ/mol
28,4508226,[1.0390671],14284.718879220298 kJ/mol,10925.993036457616 kJ/mol
29,1519873,[0.7886046],11004.523542375066 kJ/mol,10190.610833329572 kJ/mol
30,2204844,[1.1950253],-11908.648120603517 kJ/mol,-14901.26864470954 kJ/mol
31,7214681,[0.80646324],34152.78970889354 kJ/mol,29375.51763096288 kJ/mol
32,7200790,[0.0255229],13555.16845063589 kJ/mol,7231.243397397859 kJ/mol
33,2205643,[0.01446336],-30096.814422520132 kJ/mol,-32323.346128311474 kJ/mol
34,2210911,[1.1281066],-5230.61937763288 kJ/mol,-6562.009005618438 kJ/mol
35,8100793,[0.606294],-24970.583332528447 kJ/mol,-26628.186874078292 kJ/mol
36,2104971,[1.071004],4671.260079877782 kJ/mol,798.8859264258472 kJ/mol
37,7052848,[0.7916391],30370.45838456679 kJ/mol,26372.040675277138 kJ/mol
38,4027137,[0.01780356],17406.492245812187 kJ/mol,14091.902929948243 kJ/mol
39,2212078,[0.676132],-19442.337892605905 kJ/mol,-22260.512638032356 kJ/mol
40,2209888,[0.72722566],-2117.6228525669667 kJ/mol,-2976.0853566625137 kJ/mol
41,2231730,[0.05001643],-23927.86696480059 kJ/mol,-28390.38675321144 kJ/mol
42,7206516,[1.1471534],18537.309715871925 kJ/mol,15010.214925783588 kJ/mol
43,1511816,[1.2203397],-98371.80265957995 kJ/mol,-103572.19579195077 kJ/mol
44,1519191,[1.0161158],-66271.3550553064 kJ/mol,-70824.23767695611 kJ/mol
45,1504777,[0.67433757],50314.59047193515 kJ/mol,47667.50620335099 kJ/mol
46,7220218,[0.95283324],36213.68875047765 kJ/mol,33515.902722149105 kJ/mol
47,4020664,[1.4514569],-331.4882554376418 kJ/mol,-2691.2057646626417 kJ/mol
48,7219800,[0.66139716],45584.92681264337 kJ/mol,43264.28380007212 kJ/mol
49,4116140,[1.1911023],-63035.785902260934 kJ/mol,-66304.57134121603 kJ/mol
50,2004431,[1.3657775],25428.2413788641 kJ/mol,21399.196775416833 kJ/mol
51,2212364,[0.7264987],-55527.42403853064 kJ/mol,-64450.20422958806 kJ/mol
52,2206832,[1.4231918],-15159.989202839131 kJ/mol,-17489.109862200843 kJ/mol
53,7100390,[1.1096702],-10408.197114533516 kJ/mol,-12887.184299930326 kJ/mol
54,1519794,[0.62319416],11680.629713700342 kJ/mol,8753.845542863055 kJ/mol
55,2202092,[1.2815518],27113.13720207075 kJ/mol,24679.338181283714 kJ/mol
56,2100147,[0.91354406],13021.889042315484 kJ/mol,11222.557834175299 kJ/mol
57,2218498,[0.46580198],41443.14733687704 kJ/mol,36482.53867451921 kJ/mol
58,2217204,[0.77169406],18611.96581627208 kJ/mol,16536.990758789296 kJ/mol
59,2215272,[0.5273116],-43180.138240235065 kJ/mol,-45419.869892873685 kJ/mol
60,2200633,[0.81153387],34856.8959389878 kJ/mol,31555.600676702234 kJ/mol
61,2238806,[0.79242057],33510.29253893372 kJ/mol,30334.39225356605 kJ/mol
62,4507100,[1.0904535],362.39724443219166 kJ/mol,-2942.34589100222 kJ/mol
63,4515127,[0.6828743],30944.536305643316 kJ/mol,26822.563679703257 kJ/mol
64,2103490,[0.01680142],25763.880907504197 kJ/mol,20163.32489171944 kJ/mol
65,2004882,[0.8511501],-69299.11957232084 kJ/mol,-71639.2045448585 kJ/mol
66,1519868,[0.02154752],22175.327293207552 kJ/mol,18007.649758668453 kJ/mol
67,2237525,[0.51775205],3631.318886209481 kJ/mol,1429.3424012850437 kJ/mol
68,1513282,[0.73833823],-12288.454550341272 kJ/mol,-13577.249123279335 kJ/mol
69,2242758,[0.66105705],23673.695334453558 kJ/mol,16957.793579119832 kJ/mol
70,2012267,[0.9677616],-22206.351138500795 kJ/mol,-23703.06057022442 kJ/mol
71,1548052,[1.1171077],1817.480156260819 kJ/mol,447.3397507091686 kJ/mol
72,7045653,[0.6269403],70813.60208496673 kJ/mol,66701.90928286972 kJ/mol
73,7151616,[0.0149144],25160.906327347737 kJ/mol,21146.07792430008 kJ/mol
74,7206297,[0.03185783],2904.0284799836845 kJ/mol,-2886.6307125327967 kJ/mol
75,2236470,[0.8482885],26242.82526004161 kJ/mol,23534.478148082402 kJ/mol
76,2242302,[0.5000288],-21926.61710669513 kJ/mol,-22853.88668865104 kJ/mol
77,2007155,[0.8986646],19084.92212400815 kJ/mol,16181.326881141265 kJ/mol
78,4107711,[1.2520751],47829.498917752615 kJ/mol,45095.843823876006 kJ/mol
79,7054714,[1.1803095],-12087.156164577824 kJ/mol,-13073.893855197097 kJ/mol
80,4114396,[0.01505864],19501.19799966791 kJ/mol,16276.38411239607 kJ/mol
81,7221763,[1.3415195],-8685.876388816658 kJ/mol,-9698.152632760044 kJ/mol
82,2208497,[0.4844225],2932.823108386656 kJ/mol,-1066.98285574693 kJ/mol
83,7052010,[0.7207557],-92381.48287397984 kJ/mol,-97224.07458719597 kJ/mol
84,2200608,[0.02584015],35240.955266332385 kJ/mol,34432.15767179542 kJ/mol
85,7052009,[1.1357839],-81398.3808947993 kJ/mol,-86566.04941218028 kJ/mol
86,4037663,[0.91527224],-998.2568375717201 kJ/mol,-3558.237385918027 kJ/mol
87,2208405,[1.4838173],9655.580022885548 kJ/mol,6507.002963716492 kJ/mol
88,1513289,[0.95418143],18067.69468548726 kJ/mol,15096.642797617802 kJ/mol
89,2100865,[0.01822917],27218.505956964364 kJ/mol,21348.508960191917 kJ/mol
90,2008450,[1.4272013],20802.394216962966 kJ/mol,18350.16811849413 kJ/mol
91,2006075,[0.01581422],9635.514235830567 kJ/mol,1782.7564856360166 kJ/mol
92,2203255,[0.01348814],-7782.113533830896 kJ/mol,-8469.579896246856 kJ/mol
93,2018826,[0.725561],32792.774772450284 kJ/mol,32269.13712568797 kJ/mol
94,2239864,[0.01116726],53009.75236039028 kJ/mol,50750.90180295967 kJ/mol
95,7151750,[1.4758509],24816.625601975004 kJ/mol,23421.683137801632 kJ/mol
96,1100989,[0.90597504],-40733.936553454085 kJ/mol,-45397.508483063524 kJ/mol
97,2238479,[0.71720517],-38217.0048564542 kJ/mol,-41490.844519262704 kJ/mol
98,2007371,[1.1252649],-33.11266413249234 kJ/mol,-4009.3726428519044 kJ/mol
99,1519825,[0.5950333],26946.71339001156 kJ/mol,21357.06624211774 kJ/mol
100,2203241,[0.98965704],-14834.739512956712 kJ/mol,-18247.837477655467 kJ/mol
101,2220312,[1.1410072],-11191.367197765929 kJ/mol,-12527.15693161904 kJ/mol
102,1516412,[0.6309888],-6174.1227522523 kJ/mol,-9490.830298857778 kJ/mol
103,2002966,[0.01571157],-87249.18951649423 kJ/mol,-90616.99330805823 kJ/mol
104,2240041,[0.5572118],-24315.65506909065 kJ/mol,-27823.238076955353 kJ/mol
105,2241551,[0.67189753],-90009.19597296765 kJ/mol,-94112.57788509132 kJ/mol
106,7214418,[0.58758134],-6293.820955882 kJ/mol,-8786.629603613628 kJ/mol
107,3500018,[0.68139845],32369.677705450362 kJ/mol,30277.670990562376 kJ/mol
108,7039793,[1.0144968],-3400.5340878966163 kJ/mol,-5937.60746708489 kJ/mol
109,2203006,[0.44380045],36080.7547752367 kJ/mol,34476.380426656935 kJ/mol
110,2214563,[0.01532765],-22395.777165528085 kJ/mol,-30839.454921573528 kJ/mol
111,4035731,[0.02942307],83465.40883733005 kJ/mol,76484.57738255998 kJ/mol
112,2203540,[0.8301853],-18967.090990702047 kJ/mol,-22666.653388727907 kJ/mol
113,2219243,[1.195855],10864.974219287506 kJ/mol,9637.447260999988 kJ/mol
114,2105702,[0.03372036],22631.15927813946 kJ/mol,17115.280520778 kJ/mol
115,2219974,[0.02463166],50611.597941556785 kJ/mol,40316.007862885366 kJ/mol
116,2207637,[1.1014333],35276.37291219117 kJ/mol,32186.767868652452 kJ/mol
117,7216950,[0.92566425],50818.55956884622 kJ/mol,46386.6029273828 kJ/mol
118,2216977,[0.6867045],-85575.44355818049 kJ/mol,-89749.04367546014 kJ/mol
119,2224771,[0.54512507],53217.35162396081 kJ/mol,51471.702533195654 kJ/mol
120,2006099,[1.1584544],3106.095982506784 kJ/mol,-696.6184169828994 kJ/mol
121,2229458,[0.7222842],-15087.725297114124 kJ/mol,-20717.243180543017 kJ/mol
122,2005486,[1.0253702],13766.185535557439 kJ/mol,12020.163545848158 kJ/mol
123,2017090,[1.4354521],10503.642730053012 kJ/mol,8488.948194956218 kJ/mol
124,2241317,[1.3211412],6253.9159197136505 kJ/mol,5074.191202299118 kJ/mol
125,2236004,[1.1788176],11348.71598876578 kJ/mol,8200.433992624297 kJ/mol
126,2208241,[0.65896374],14859.043776641212 kJ/mol,13114.30035037679 kJ/mol
127,2300006,[0.7613952],-6983.40084270943 kJ/mol,-16802.878539613248 kJ/mol
128,2223130,[1.1580212],39084.093693736395 kJ/mol,34143.26413453475 kJ/mol
129,7219235,[1.1389452],-52540.50926377195 kJ/mol,-62064.285461228 kJ/mol
130,2234037,[0.76563126],31759.416073678876 kJ/mol,27752.540742324185 kJ/mol
131,2018597,[0.306379],-37829.4854889666 kJ/mol,-41804.055113075156 kJ/mol
132,2238379,[1.6577392],-49369.35751837106 kJ/mol,-52363.9362704246 kJ/mol
133,4513593,[1.0475698],2142.4585784793912 kJ/mol,-1074.9193800246826 kJ/mol
134,4025034,[1.2531683],-8060.649150770489 kJ/mol,-10643.501248884495 kJ/mol
135,2226624,[1.4581835],3291.871395528826 kJ/mol,1079.4972200567936 kJ/mol
136,2100662,[0.5640105],520.8433251989409 kJ/mol,-8519.968525307464 kJ/mol
137,7056752,[0.03117758],-37684.32621314768 kJ/mol,-41830.872733027536 kJ/mol
138,4037916,[0.74585927],19385.805830713263 kJ/mol,15581.904568067053 kJ/mol
139,2220694,[1.1496141],9635.784017752818 kJ/mol,7104.068434542953 kJ/mol
140,2221170,[1.2363333],22833.491534523855 kJ/mol,20032.54091844322 kJ/mol
141,2205937,[0.02130011],29140.902776206363 kJ/mol,25512.323071407453 kJ/mol
142,2234322,[1.3560113],12517.98301952313 kJ/mol,10703.425529237 kJ/mol
143,2212135,[0.7369207],86922.47573589005 kJ/mol,79118.40774329384 kJ/mol
144,1513592,[0.93790716],21026.32869039515 kJ/mol,17607.186671205054 kJ/mol
145,2311084,[0.85745674],-2012.1005750492259 kJ/mol,-13044.652106965132 kJ/mol
146,7117669,[0.01571655],35973.87510693643 kJ/mol,33150.709413640965 kJ/mol
147,7100858,[0.0207926],-7649.589204784788 kJ/mol,-10812.774883055976 kJ/mol
148,4022058,[0.9746528],1126.5383579984627 kJ/mol,-1283.999492111583 kJ/mol
149,2235036,[1.2216065],12459.76084557059 kJ/mol,10474.288262287595 kJ/mol
150,4507232,[0.03018038],30284.88475512775 kJ/mol,27677.552061517385 kJ/mol
151,2205115,[1.1588008],25363.601113852335 kJ/mol,23351.697822578288 kJ/mol
152,2231503,[1.169017],12113.832898302264 kJ/mol,10042.088601628993 kJ/mol
153,2102305,[0.7077164],-5141.743781042574 kJ/mol,-7756.988439074848 kJ/mol
154,1549860,[1.1327527],29908.141050620743 kJ/mol,26958.770472534798 kJ/mol
155,2104176,[0.01325131],-13862.760118519236 kJ/mol,-18422.631643221495 kJ/mol
156,1518526,[0.9859897],11269.149765616694 kJ/mol,10326.570025247152 kJ/mol
157,7228868,[0.55445],31116.058382583404 kJ/mol,28982.66986522199 kJ/mol
158,2012958,[0.5525671],-29408.935739780398 kJ/mol,-32447.754520633956 kJ/mol
159,2210848,[0.9624077],40349.25781176975 kJ/mol,37334.79808624885 kJ/mol
160,2216200,[1.18816],29027.077027084175 kJ/mol,27836.25448931376 kJ/mol
161,7216997,[0.79447305],56789.357821935024 kJ/mol,40419.872495803924 kJ/mol
162,1100992,[0.6042659],-63005.35416496839 kJ/mol,-66976.30759914756 kJ/mol
163,2229006,[1.0732214],-2494.178801187769 kJ/mol,-4268.63245660252 kJ/mol
164,2108038,[0.02552969],31745.187967678088 kJ/mol,18629.1458657235 kJ/mol
165,2217222,[0.8038654],7710.062420819257 kJ/mol,3180.5870203799896 kJ/mol
